id,name,dob,gender,address,first_release_year,no_of_albums_released,created_at,updated_at
4,"New Test","2024-01-30 00:00:00",m,ajdka,2024,20,"2025-02-06 12:09:40","2025-02-06 12:09:40"
5,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
6,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
7,holihala,"2025-01-01 00:00:00",f,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
8,holihala,"2025-01-01 00:00:00",m,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
9,hoinahola,"2025-01-01 00:00:00",m,dchadkA,2021,101,"2025-02-06 12:22:30","2025-02-06 12:22:30"
10,"New Test","2024-01-30 00:00:00",m,ajdka,2024,20,"2025-02-06 12:09:40","2025-02-06 12:09:40"
11,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
12,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
13,holihala,"2025-01-01 00:00:00",f,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
14,holihala,"2025-01-01 00:00:00",m,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
15,hoinahola,"2025-01-01 00:00:00",m,dchadkA,2021,101,"2025-02-06 12:22:30","2025-02-06 12:22:30"
16,"New Test","2024-01-30 00:00:00",m,ajdka,2024,20,"2025-02-06 12:09:40","2025-02-06 12:09:40"
17,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
18,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
19,holihala,"2025-01-01 00:00:00",f,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
20,holihala,"2025-01-01 00:00:00",m,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
21,hoinahola,"2025-01-01 00:00:00",m,dchadkA,2021,101,"2025-02-06 12:22:30","2025-02-06 12:22:30"
22,"New Test","2024-01-30 00:00:00",m,ajdka,2024,20,"2025-02-06 12:09:40","2025-02-06 12:09:40"
23,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
24,fuaihadifua,"2025-01-01 00:00:00",m,adjivbka,2021,20,"2025-02-06 12:13:32","2025-02-06 12:13:32"
25,holihala,"2025-01-01 00:00:00",f,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
26,holihala,"2025-01-01 00:00:00",m,kejfbdaksfhazfbk,2021,200,"2025-02-06 12:16:27","2025-02-06 12:16:27"
27,hoinahola,"2025-01-01 00:00:00",m,dchadkA,2021,101,"2025-02-06 12:22:30","2025-02-06 12:22:30"
